generic_name,status,availability,shortage_reason,dosage_form,company_name,initial_posting_date,update_type,therapeutic_category,year,month
Lisdexamfetamine Dimesylate Capsule,Current,Limited Availability,Shortage of an active ingredient,Capsule,SpecGx LLC,2023-07-14,Reverified,Psychiatry,2023,7
Methotrexate Sodium Injection,Current,Available,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2023-03-13,Reverified,Rheumatology,2023,3
Metoprolol Tartrate Tablet,To Be Discontinued,Unknown,Unknown,Tablet,Aurobindo Pharma USA,2025-06-03,New,Cardiovascular,2025,6
"Topiramate Capsule, Extended Release",To Be Discontinued,Unknown,Unknown,"Capsule, Extended Release","Upsher-Smith Laboratories, LLC",2025-04-24,New,Neurology,2025,4
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Current,Available,Unknown,Injection,"Fresenius Kabi USA, LLC",2016-10-14,Reverified,Anesthesia,2016,10
Hydromorphone Hydrochloride Injection,Current,Unavailable,Demand increase for the drug,Injection,"Fresenius Kabi USA, LLC",2017-10-31,Reverified,Analgesia/Addiction,2017,10
Meperidine Hydrochloride Injection,Current,Unavailable,Other,Injection,"Hospira, Inc., a Pfizer Company",2025-05-30,Revised,Analgesia/Addiction,2025,5
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Limited Availability,Other,Tablet,"Teva Pharmaceuticals USA, Inc.",2022-10-12,Revised,Psychiatry,2022,10
Quinapril Hydrochloride Tablet,To Be Discontinued,Unknown,Unknown,Tablet,Pfizer Inc.,2025-10-01,New,Cardiovascular,2025,10
Rifampin Capsule,Current,Limited Availability,Shortage of an active ingredient,Capsule,"Lupin Pharmaceuticals, Inc.",2021-12-22,Reverified,Anti-Infective,2021,12
Dextrose Monohydrate 10% Injection,Current,Available,Unknown,Injection,Otsuka ICU Medical LLC,2022-03-01,Reverified,Endocrinology/Metabolism,2022,3
Docetaxel Injection,To Be Discontinued,Unknown,Unknown,Injection,Ingenus Pharmaceuticals LLC,2026-02-20,New,Oncology,2026,2
Pemetrexed Disodium Injection,To Be Discontinued,Unknown,Unknown,Injection,Sandoz Inc.,2025-10-10,New,Oncology,2025,10
Fentanyl Citrate Injection,Current,Unavailable,Other,Injection,"Hikma Pharmaceuticals USA, Inc.",2023-12-20,Revised,Analgesia/Addiction,2023,12
Furosemide Injection,Current,Unavailable,Requirements related to complying with good manufacturing practices,Injection,Accord Healthcare Inc.,2020-04-07,Revised,Cardiovascular,2020,4
Adalimumab-adaz Injection,To Be Discontinued,Unknown,Unknown,Injection,Sandoz Inc.,2025-04-14,New,Rheumatology,2025,4
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Current,Unavailable,Other,Injection,"Hospira, Inc., a Pfizer Company",2018-02-20,Revised,Anesthesia,2018,2
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Current,Available,Unknown,Injection,"Fresenius Kabi USA, LLC",2018-02-20,Reverified,Anesthesia,2018,2
Etomidate Injection,Current,Available,Unknown,Injection,"Hikma Pharmaceuticals USA, Inc.",2022-10-05,Revised,Anesthesia,2022,10
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Limited Availability,Shortage of an active ingredient,Tablet,"Elite Laboratories, Inc.",2022-10-12,Reverified,Psychiatry,2022,10
Everolimus Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Endo Pharmaceuticals, Inc.",2026-01-06,New,Transplant,2026,1
Adalimumab-adaz Injection,To Be Discontinued,Unknown,Unknown,Injection,Sandoz Inc.,2026-01-13,New,Rheumatology,2026,1
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Available,Unknown,Tablet,"Teva Pharmaceuticals USA, Inc.",2022-10-12,Revised,Psychiatry,2022,10
Drospirenone; Ethinyl Estradiol Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Teva Pharmaceuticals USA, Inc.",2025-05-02,New,Reproductive,2025,5
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Available,Unknown,Tablet,Oryza Pharmaceuticals Inc.,2022-10-12,Reverified,Psychiatry,2022,10
Memantine Hydrochloride Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Upsher-Smith Laboratories, LLC",2025-04-28,New,Neurology,2025,4
